Designator,Mid X,Mid Y,Layer,Rotation
C1,44.13,4.92,Top,90
C2,16.03,17.46,Top,180
C3,16.03,12.38,Top,0
C4,8.57,2.06,Top,270
C5,44.13,9.68,Top,270
C6,14.76,5.71,Top,90
C7,31.12,26.83,Top,90
C8,5.24,29.53,Top,0
C9,2.70,15.40,Top,0
C10,24.13,6.83,Top,180
C11,33.34,26.83,Top,270
C12,24.45,31.27,Top,180
C13,38.42,23.65,Top,0
C14,26.04,33.18,Top,0
C15,15.40,26.35,Top,0
C16,13.65,21.43,Top,270
C17,41.27,35.56,Top,270
C18,2.70,13.18,Top,180
C19,25.08,29.85,Top,180
C20,29.69,2.06,Top,270
C21,10.64,2.06,Top,270
C22,30.32,4.45,Top,0
C23,34.77,2.06,Top,90
C24,26.51,24.13,Top,270
C25,7.78,30.64,Top,180
C26,16.03,11.27,Top,0
C27,25.08,14.61,Top,90
C28,24.29,19.53,Top,0
C29,1.75,22.70,Top,0
C30,24.29,24.45,Top,180
C31,26.19,5.71,Top,180
C32,12.70,5.71,Top,90
C33,12.70,2.06,Top,270
C34,44.13,13.18,Top,270
C35,14.76,2.06,Top,270
C36,15.56,21.91,Top,180
C37,18.57,8.89,Top,90
C39,23.81,16.67,Top,90
C40,16.19,24.13,Top,0
C41,24.29,20.64,Top,0
C42,15.88,19.69,Top,0
C45,2.70,12.07,Top,0
C47,33.02,35.88,Top,90
C49,27.62,24.13,Top,270
C51,26.83,22.07,Top,0
C52,35.08,24.13,Top,270
C65,2.06,16.51,Top,180
C66,12.07,29.53,Top,180
C67,28.10,35.72,Top,270
C68,29.37,35.72,Top,270
C82,2.70,14.29,Top,0
C107,1.75,23.81,Top,180
D2,1.75,3.33,Top,90
D3,19.69,36.04,Top,0
D4,5.40,3.33,Top,270
D5,19.69,33.50,Top,0
D7,3.02,48.26,Top,0
D8,42.07,48.26,Top,180
IC2,31.12,35.88,Top,270
IC5,16.03,9.05,Top,0
IC6,32.38,24.13,Top,0
IC9,31.19,31.12,Top,180
IC10,41.91,29.53,Top,0
IC11,36.83,29.53,Top,0
IC12,29.85,24.13,Top,180
IC15,20.16,3.81,Top,180
L1,34.77,35.56,Top,90
L2,26.19,2.70,Top,90
LED1,44.13,18.41,Top,90
LED2,21.75,7.94,Top,180
LED3,21.75,9.05,Top,180
Q1,8.89,35.56,Top,270
Q2,2.54,34.29,Top,270
Q3,3.18,40.64,Top,270
Q4,5.71,35.56,Top,270
Q5,18.41,30.00,Top,270
Q6,21.59,30.00,Top,270
Q7,15.24,33.66,Top,270
Q8,12.07,35.56,Top,270
Q9,3.33,45.40,Top,180
Q10,41.59,45.40,Top,0
R1,44.13,16.03,Top,270
R2,8.89,31.91,Top,0
R3,8.89,33.02,Top,180
R4,9.21,6.51,Top,90
R5,8.10,6.51,Top,270
R6,15.56,20.80,Top,180
R7,0.79,42.86,Top,270
R8,15.24,36.51,Top,0
R9,43.18,24.77,Top,0
R11,1.75,21.59,Top,0
R12,26.35,35.56,Top,90
R13,24.29,21.75,Top,180
R14,24.29,35.56,Top,90
R15,36.51,35.56,Top,90
R16,12.07,31.91,Top,0
R17,12.07,33.02,Top,180
R18,16.35,25.24,Top,180
R19,30.00,26.83,Top,270
R20,28.89,26.83,Top,270
R22,0.79,45.24,Top,90
R24,43.34,35.56,Top,90
R25,44.13,42.86,Top,270
R26,44.13,45.24,Top,270
R27,44.13,7.30,Top,270
R28,27.78,30.16,Top,90
R29,27.78,26.83,Top,270
R30,24.29,18.41,Top,0
R31,28.58,2.06,Top,270
R32,32.23,26.83,Top,90
R33,44.13,1.91,Top,90
R34,15.56,23.02,Top,180
R35,24.29,23.34,Top,180
R36,36.20,24.13,Top,90
R37,4.92,8.10,Top,90
R38,38.10,24.77,Top,0
R39,39.21,35.56,Top,90
R40,15.40,27.46,Top,0
R41,36.83,44.77,Top,90
R42,19.84,8.89,Top,90
R47,3.81,8.10,Top,270
R48,25.08,11.91,Top,270
R49,2.86,30.64,Top,0
R50,3.33,31.91,Top,180
R51,5.71,31.91,Top,0
R52,41.91,23.65,Top,180
R53,24.13,7.94,Top,0
R54,24.13,9.05,Top,0
R55,5.71,33.02,Top,180
R56,18.41,26.35,Top,0
R59,18.41,27.46,Top,180
R60,21.59,26.35,Top,0
R61,21.59,27.46,Top,180
R62,15.24,30.00,Top,0
R63,15.24,31.12,Top,180
R69,27.78,32.86,Top,270
R78,2.22,37.47,Top,270
R79,0.79,39.37,Top,270
R80,3.49,37.47,Top,90
R102,2.06,19.53,Top,180
R103,2.86,28.26,Top,180
R104,1.75,24.92,Top,0
R105,2.06,17.94,Top,180
R107,9.37,29.53,Top,180
R108,13.65,27.30,Top,270
R109,13.65,24.61,Top,270
R110,1.75,26.04,Top,180
U$4,16.03,14.92,Top,270
U$8,32.23,2.22,Top,180